**************************************
*    e-Kinetics Rate Coefficients    *
**************************************

ID   Ine.R.Coeff.(m^3s^-1) Sup.R.Coeff.(m^3s^-1) Threshold(eV)         Description
  11 8.79971497063317e-16  (N/A)                 +1.27000000000000e+00 +2.96951390822348e+17   e+O2(b1Sg+)->e+O(3P)+O(1D),eedf
  12 2.76781228495370e-15  (N/A)                 +4.90000000000000e+00 +1.18282428239318e+17   e+O3(X)->e+O(3P)+O2(X),eedf
  13 1.00829926986749e-18  (N/A)                 +0.00000000000000e+00 +5.68239515634222e+17   e+O2(X)->2e+O2(+,X),eedf
  14 2.15130104189139e-18  (N/A)                 +0.00000000000000e+00 +9.83726835417185e+16   e+O2(a1Dg)->2e+O2(+,X),eedf
  15 5.19246634524056e-19  (N/A)                 +0.00000000000000e+00 +2.01729398422036e+17   e+O(3P)->2e+O(+,gnd),eedf
  16 1.00083026025718e-14  (N/A)                 +0.00000000000000e+00 +1.04780497038746e+16   e+O(-,gnd)->2e+O(3P),eedf
  17 6.94067000716750e-22  (N/A)                 +0.00000000000000e+00 +3.91150036592621e+14   e+O2(X)->2e+O(3P)+O(+,gnd),eedf
  18 1.75472886035056e-21  (N/A)                 +0.00000000000000e+00 +8.02386014413975e+13   e+O2(a1Dg)->2e+O(3P)+O(+,gnd),eedf
  19 1.93373365121001e-17  (N/A)                 +1.27000000000000e+00 +1.08977949916950e+19   e+O2(X)->O(-,gnd)+O(3P),eedf
  20 9.15342712919531e-17  (N/A)                 +1.27000000000000e+00 +4.18559361413619e+18   e+O2(a1Dg)->O(-,gnd)+O(3P),eedf
  21 5.84306186762047e-15  (N/A)                 +6.91000000000000e+00 +2.88796463812025e+17   e+O2(+,X)->2O(3P),powerElectronTemp
  22 1.03876655424364e-14  (N/A)                 +4.95000000000000e+00 +5.13415935665822e+17   e+O2(+,X)->O(3P)+O(1D),powerElectronTemp
  23 7.00000000000000e-22  (N/A)                 +9.80000000000000e-01 +2.43078755703348e+17   O2(a1Dg)+O(3P)->O2(X)+O(3P),constantRateCoeff
  24 3.00000000000000e-44  (N/A)                 +9.80000000000000e-01 +8.20828190000776e+14   O2(a1Dg)+O(3P)+O2(X)->O2(X)+O(3P)+O2(X),constantRateCoeff
  25 2.10224123766312e-23  (N/A)                 +3.30000000000000e-01 +8.59229825362984e+14   2O2(a1Dg)->O2(b1Sg+)+O2(X),modifiedArrheniusGasTemp
  26 2.33892771882941e-24  (N/A)                 +9.80000000000000e-01 +1.17818161379534e+15   O2(a1Dg)+O2(X)->O2(X)+O2(X),powerGasTemp
  27 4.00000000000000e-20  (N/A)                 +6.50000000000000e-01 +1.02506730821394e+17   O2(b1Sg+)+O(3P)->O2(a1Dg)+O(3P),constantRateCoeff
  28 4.10924350808080e-20  (N/A)                 +1.63000000000000e+00 +1.05306279540600e+17   O2(b1Sg+)+O(3P)->O2(X)+O(3P),arrheniusSumGasTemp
  29 7.82425545020733e-23  (N/A)                 -3.30000000000000e-01 +2.00509711828057e+14   O2(b1Sg+)+O(3P)->O2(X)+O(1D),modifiedArrheniusGasTemp
  30 4.95000000000000e-18  (N/A)                 +4.50000000000000e+00 +7.16689601534643e+17   O2(A3Su+_C3Du_c1Su-)+O(3P)->O2(X)+O(3P),constantRateCoeff
  31 2.70000000000000e-18  (N/A)                 +1.56000000000000e+00 +3.90921600837078e+17   O2(A3Su+_C3Du_c1Su-)+O(3P)->O(1D)+O2(a1Dg),constantRateCoeff
  32 1.35000000000000e-18  (N/A)                 +9.10000000000000e-01 +1.95460800418539e+17   O2(A3Su+_C3Du_c1Su-)+O(3P)->O(1D)+O2(b1Sg+),constantRateCoeff
  33 2.30000000000000e-20  (N/A)                 +4.50000000000000e+00 +4.83059042423546e+15   O2(A3Su+_C3Du_c1Su-)+O2(X)->O2(X)+O2(X),constantRateCoeff
  34 1.86000000000000e-19  (N/A)                 +3.52000000000000e+00 +3.90647747351216e+16   O2(A3Su+_C3Du_c1Su-)+O2(X)->O2(a1Dg)+O2(X),constantRateCoeff
  35 2.10000000000000e-20  (N/A)                 +2.87000000000000e+00 +4.41053908299760e+15   O2(A3Su+_C3Du_c1Su-)+O2(X)->O2(b1Sg+)+O2(X),constantRateCoeff
  36 8.00000000000000e-18  (N/A)                 +1.96000000000000e+00 +5.31763348676909e+18   O(1D)+O(3P)->O(3P)+O(3P),constantRateCoeff
  37 3.47988962738540e-45  (N/A)                 +5.16000000000000e+00 +8.08944356889153e+14   2O(3P)+O2(X)->O2(X)+O2(X),modifiedArrheniusGasTemp
  38 2.29672715407436e-45  (N/A)                 +4.18000000000000e+00 +5.33903275546841e+14   2O(3P)+O2(X)->O2(a1Dg)+O2(X),modifiedArrheniusGasTemp
  39 1.18316247331104e-45  (N/A)                 +3.53000000000000e+00 +2.75041081342312e+14   2O(3P)+O2(X)->O2(b1Sg+)+O2(X),modifiedArrheniusGasTemp
  40 6.55255611312152e-45  (N/A)                 +5.16000000000000e+00 +1.05006807100416e+15   2O(3P)+O(3P)->O2(X)+O(3P),powerGasTemp
  41 8.60881367364736e-18  (N/A)                 +1.96000000000000e+00 +8.30076650397715e+18   O(1D)+O2(X)->O(3P)+O2(X),arrheniusGasTemp
  42 9.83864419845413e-19  (N/A)                 +9.80000000000000e-01 +9.48659029025960e+17   O(1D)+O2(X)->O(3P)+O2(a1Dg),arrheniusGasTemp
  43 3.14836614350532e-17  (N/A)                 +3.30000000000000e-01 +3.03570889288307e+19   O(1D)+O2(X)->O(3P)+O2(b1Sg+),arrheniusGasTemp
  44 1.50000000000000e-17  (N/A)                 +5.50000000000000e-01 +4.22835796513258e+15   O2(b1Sg+)+O3(X)->2O2(X)+O(3P),constantRateCoeff
  45 1.20000000000000e-16  (N/A)                 +6.04000000000000e+00 +8.77400253788722e+15   O(1D)+O3(X)->2O2(X),constantRateCoeff
  46 1.20000000000000e-16  (N/A)                 +8.80000000000000e-01 +8.77400253788722e+15   O(1D)+O3(X)->O2(X)+2O(3P),constantRateCoeff
  47 8.08419447115104e-21  (N/A)                 -1.00000000000000e-01 +3.08797526380054e+14   O2(a1Dg)+O3(X)->2O2(X)+O(3P),arrheniusGasTemp
  48 7.41313587007107e-21  (N/A)                 +4.08000000000000e+00 +2.40580926129672e+15   O(3P)+O3(X)->2O2(X),arrheniusGasTemp
  49 4.89266967424691e-21  (N/A)                 +3.10000000000000e+00 +1.58783411245584e+15   O(3P)+O3(X)->O2(a1Dg)+O2(X),arrheniusGasTemp
  50 2.52046619582416e-21  (N/A)                 +2.45000000000000e+00 +8.17975148840886e+14   O(3P)+O3(X)->O2(b1Sg+)+O2(X),arrheniusGasTemp
  51 2.00000000000000e-19  (N/A)                 +7.00000000000001e-02 +5.75871832472374e+11   O3(exc)+O(3P)->O3(X)+O(3P),constantRateCoeff
  52 3.00000000000000e-21  (N/A)                 +7.00000000000001e-02 +1.25303606545058e+10   O3(exc)+O2(X)->O3(X)+O2(X),constantRateCoeff
  53 4.88809473725967e-18  (N/A)                 -3.00000000000002e-02 +1.65658331739331e+12   O2(a1Dg)+O3(exc)->2O2(X)+O(3P),arrheniusGasTemp
  54 1.67192230604384e-18  (N/A)                 +4.15000000000000e+00 +4.81406481066451e+12   O(3P)+O3(exc)->2O2(X),arrheniusGasTemp
  55 6.09333951319526e-46  (N/A)                 +1.08000000000000e+00 +1.41647383727872e+14   O(3P)+O2(X)+O(3P)->O3(X)+O(3P),arrheniusGasTemp
  56 1.63591139146266e-46  (N/A)                 +1.08000000000000e+00 +5.51644677796153e+13   O(3P)+O2(X)+O2(X)->O3(X)+O2(X),arrheniusGasTemp
  57 3.32139585539388e-46  (N/A)                 +1.01000000000000e+00 +1.12000586098007e+14   O(3P)+O2(X)+O2(X)->O3(exc)+O2(X),arrheniusGasTemp
  58 4.88596751612540e-46  (N/A)                 +1.08000000000000e+00 +1.24937223836221e+10   O(3P)+O2(X)+O3(X)->O3(X)+O3(X),expGasTemp
  59 1.00000000000000e-18  (N/A)                 +0.00000000000000e+00 +1.15329958405800e+16   O(-,gnd)+O2(X)->e+O3(X),constantRateCoeff
  60 1.42500000000000e-16  (N/A)                 +0.00000000000000e+00 +1.33348566765280e+17   O(-,gnd)+O2(a1Dg)->e+O3(X),constantRateCoeff
  61 1.30000000000000e-15  (N/A)                 +0.00000000000000e+00 +1.03356789815420e+19   O(-,gnd)+O(3P)->e+O2(X),constantRateCoeff
  62 6.90000000000000e-16  (N/A)                 +0.00000000000000e+00 +4.76503402209226e+15   O(-,gnd)+O2(b1Sg+)->e+O(3P)+O2(X),constantRateCoeff
  63 2.80000000000000e-13  (N/A)                 +1.20700000000000e+01 +3.23053745108496e+14   O(+,gnd)+O(-,gnd)->2O(3P),constantRateCoeff
  64 1.00000000000000e-16  (N/A)                 +5.61000000000000e+00 +4.70955986120258e+12   O(+,gnd)+O3(X)->O2(+,X)+O2(X),constantRateCoeff
  65 1.92490220808953e-17  (N/A)                 +1.53000000000000e+00 +1.19549392024364e+16   O(+,gnd)+O2(X)->O2(+,X)+O(3P),powerGasTemp
  66 1.92490220808953e-17  (N/A)                 +2.51000000000000e+00 +9.70015612471934e+14   O(+,gnd)+O2(a1Dg)->O2(+,X)+O(3P),powerGasTemp
  67 9.23953059882976e-14  (N/A)                 +1.05400000000000e+01 +9.34547652989236e+16   O2(+,X)+O(-,gnd)->O2(X)+O(3P),powerGasTemp
  68 5.16569085893666e+00  (N/A)                 +9.80000000000000e-01 +3.30249226135203e+19   O2(a1Dg)+Wall->O2(X),multicomponentTransportChantry
  69 3.32214174257118e+03  (N/A)                 +1.63000000000000e+00 +1.56738245736865e+20   O2(b1Sg+)+Wall->O2(X),multicomponentTransportChantry
